None,closeask,openask,highask,lowask
5737,1.28646,1.28461,1.28659,1.28428
5738,1.28448,1.28646,1.2867,1.28429
5739,1.28315,1.28448,1.28478,1.28265
5740,1.28166,1.28315,1.2833,1.28052
5741,1.28232,1.28166,1.28264,1.28158
5742,1.28299,1.28232,1.28354,1.28212
5743,1.28316,1.28299,1.2832,1.28223
5744,1.28234,1.28316,1.28323,1.28211
5745,1.28324,1.28234,1.2833,1.28198
5746,1.28311,1.28324,1.28343,1.28279
5747,1.28287,1.28311,1.28336,1.28248
5748,1.28337,1.28287,1.28346,1.28272
5749,1.2825,1.28337,1.28347,1.28232
5750,1.28324,1.2825,1.2834,1.28214
5751,1.2831,1.28324,1.28347,1.28298
5752,1.28345,1.2831,1.28377,1.2829
5753,1.28326,1.28345,1.28372,1.28322
5754,1.2831,1.28326,1.28332,1.28262
5755,1.28282,1.2831,1.28343,1.28273
5756,1.28165,1.28282,1.28285,1.28096
5757,1.28674,1.28165,1.28689,1.28128
5758,1.29094,1.28674,1.29112,1.28671
5759,1.29035,1.29094,1.29095,1.2885
5760,1.29092,1.29035,1.29138,1.29014
5761,1.29433,1.29092,1.29516,1.29082
5762,1.29272,1.29433,1.29515,1.29236
5763,1.29299,1.29272,1.2934,1.2917
5764,1.29622,1.29299,1.29708,1.29274
5765,1.29565,1.29622,1.29693,1.29513
5766,1.29508,1.29565,1.29569,1.29467
5767,1.29534,1.29508,1.29574,1.29471
5768,1.29598,1.29534,1.29614,1.29527
5769,1.29577,1.29598,1.29619,1.29547
5770,1.29589,1.29577,1.29613,1.29541
5771,1.29565,1.29589,1.29631,1.2952
5772,1.29566,1.29565,1.29606,1.2952
5773,1.29548,1.29566,1.29593,1.29515
5774,1.29573,1.29548,1.29612,1.29529
5775,1.29578,1.29573,1.29626,1.29569
5776,1.29548,1.29578,1.29634,1.29537
5777,1.29566,1.29548,1.29597,1.29537
5778,1.29524,1.29566,1.29574,1.29491
5779,1.29472,1.29524,1.29534,1.29449
5780,1.299,1.29472,1.29942,1.29464
5781,1.29904,1.299,1.30005,1.29845
5782,1.29904,1.29904,1.29992,1.29809
5783,1.29889,1.29904,1.29956,1.29782
5784,1.29842,1.29889,1.2994,1.29831
5785,1.29793,1.29842,1.29919,1.29733
5786,1.29909,1.29793,1.29913,1.29736
5787,1.3008,1.29909,1.30163,1.29863
5788,1.30011,1.3008,1.30081,1.2983
5789,1.29967,1.30011,1.30023,1.29814
5790,1.29901,1.29967,1.30001,1.2984
5791,1.29916,1.29901,1.2993,1.2987
5792,1.2993,1.29916,1.29948,1.29872
5793,1.29933,1.2993,1.29953,1.29893
5794,1.2991,1.29933,1.29988,1.29893
5795,1.29979,1.2991,1.30037,1.299
5796,1.29908,1.29979,1.29982,1.299
5797,1.29906,1.29908,1.29942,1.29875
5798,1.29853,1.29906,1.29908,1.29843
5799,1.29862,1.29853,1.2989,1.29836
5800,1.29918,1.29862,1.29918,1.29847
5801,1.29881,1.29918,1.2993,1.29876
5802,1.29856,1.29881,1.29907,1.29841
5803,1.30044,1.29856,1.30102,1.2985
5804,1.29903,1.30044,1.30057,1.29854
5805,1.2964,1.29903,1.29927,1.29555
5806,1.29674,1.2964,1.29741,1.29509
5807,1.29778,1.29674,1.2984,1.29656
5808,1.29811,1.29778,1.29906,1.29767
5809,1.29996,1.29811,1.30016,1.29779
5810,1.30045,1.29996,1.30136,1.29772
5811,1.30058,1.30045,1.30096,1.29914
5812,1.29868,1.30058,1.30077,1.29839
5813,1.30065,1.29868,1.30066,1.29863
5814,1.30047,1.30065,1.301,1.29983
5815,1.30089,1.30047,1.30135,1.30047
5816,1.30058,1.30089,1.30118,1.3005
5817,1.30093,1.30058,1.30117,1.30025
5818,1.3015,1.30093,1.30155,1.29989
5819,1.30097,1.30127,1.30209,1.30036
5820,1.30164,1.30097,1.30165,1.30067
5821,1.30146,1.30164,1.30213,1.30133
5822,1.30222,1.30146,1.30225,1.30135
5823,1.30242,1.30222,1.30247,1.30191
5824,1.30259,1.30242,1.30271,1.30236
5825,1.30202,1.30259,1.30273,1.30201
5826,1.30272,1.30202,1.30274,1.302
5827,1.30495,1.30272,1.30584,1.30237
5828,1.30417,1.30495,1.30511,1.304
